assertion_id,record_id,assertion_type,printed_form,start_line,start_character,review_status
asrt.c49bf5446b416b148f80ed09,326,FAUNA_MENTION,யானை,14,7,human_review_required
asrt.187e50d491c672ce32b37b0e,327,COMMUNITY_MENTION,பாணர்,4,7,human_review_required
asrt.6fe0ea0b4b68ad9bc5ffc54f,333,FAUNA_MENTION,யானை,17,7,human_review_required
asrt.443037085b225ee41e30df79,333,GIFT_MENTION,பரிசில்,19,0,human_review_required
asrt.74e7d72a4135f3ff655f37cd,334,COMMUNITY_MENTION,பாணர்,6,0,human_review_required
asrt.6a65fdf9117525923661e1bd,334,GIFT_MENTION,பரிசில்,10,0,human_review_required
asrt.409c289b135f8b64c8c8b693,335,FLORA_MENTION,முல்லை,2,21,human_review_required
asrt.d401acad925a76d37f785692,336,FLORA_MENTION,வேங்கை,9,0,human_review_required
asrt.5ca7ea6d11d9c68db66e5ee6,337,FAUNA_MENTION,யானை,15,9,human_review_required
asrt.056db6a609e76395fc9eadd0,338,FLORA_MENTION,நெல்,2,0,human_review_required
asrt.9eefd95ed78c8da3418d29a2,338,COMMODITY_MENTION,பொன்,2,19,human_review_required
asrt.1c4e15cfe5394805e54ad840,338,POLITICAL_RELATION,மன்னன்,12,9,human_review_required
asrt.ec682b305fd9b1e3c41da62c,339,WATER_BODY_MENTION,கடல்,7,0,human_review_required
asrt.c79b2f9db2e2168d502fec8d,339,FAUNA_MENTION,யானை,13,10,human_review_required
asrt.5d1c7aec7bc04694566d0e2c,340,KINSHIP_MENTION,தந்தை,6,23,human_review_required
asrt.87dc2da23123d3e983cd47dc,340,FAUNA_MENTION,யானை,7,23,human_review_required
asrt.6ed3b733d2454c89a8d6b2b0,341,KINSHIP_MENTION,தந்தை,3,29,human_review_required
asrt.aa50bf5a731c9c156e46ea89,343,WATER_BODY_MENTION,கடல்,7,14,human_review_required
asrt.8c1ddb727a3755d0fe28f64c,343,WATER_BODY_MENTION,கடல்,10,8,human_review_required
asrt.c4a26b0972a87a16ec07830c,343,FLORA_MENTION,நெல்,1,15,human_review_required
asrt.36a8af7d65aedf038da43da7,343,FAUNA_MENTION,மீன்,1,1,human_review_required
asrt.a601b2bafbced2d6e0f28c64,345,COMMUNITY_MENTION,மறவர்,5,6,human_review_required
asrt.406ebfd668d8b4e7fd16d425,345,FAUNA_MENTION,களிறு,1,0,human_review_required
asrt.211c2c6bf7baf1114db63608,347,FAUNA_MENTION,யானை,11,10,human_review_required
asrt.726bb0e0d7c66c21750a17b8,348,FAUNA_MENTION,மீன்,4,0,human_review_required
asrt.43b1b501aeacdced2c5909be,348,FAUNA_MENTION,யானை,9,10,human_review_required
asrt.8107ad02558ad5afc8c0ff71,350,WARFARE_MENTION,போர்,7,25,human_review_required
asrt.6625ca78cb776ac63a2e566a,353,POLITICAL_RELATION,மன்னன்,11,9,human_review_required
asrt.fa62c6ff3c23e64a1f299009,357,MOUNTAIN_OR_HILL_MENTION,குன்று,1,0,human_review_required
asrt.dfafaa8f4e6d9b6e2ad490a4,360,GIFT_MENTION,பரிசில்,13,29,human_review_required
asrt.ba12a70b24beaea8df469ab7,368,FAUNA_MENTION,களிறு,1,0,human_review_required
asrt.7d3dd9243edb36009a0a0075,369,COMMUNITY_MENTION,மறவர்,3,9,human_review_required
asrt.1ed83634ea76d7efa904f834,369,FAUNA_MENTION,யானை,2,8,human_review_required
asrt.d2d5e4c49f3284404a48f8c5,371,FAUNA_MENTION,யானை,13,0,human_review_required
asrt.6219cffe68f804e9846a6f63,373,COMMUNITY_MENTION,மறவர்,25,6,human_review_required
asrt.bc2294a75277393137ffb13a,374,ECONOMIC_ACTIVITY,வரி,14,19,human_review_required
asrt.97daa6fabe22b741c46ec9d1,376,COMMUNITY_MENTION,பாணர்,5,0,human_review_required
asrt.0379a5d2d74ce956e23aa8af,377,WATER_BODY_MENTION,கடல்,16,0,human_review_required
asrt.2a19d2153463524c73ac2739,377,WATER_BODY_MENTION,கடல்,28,0,human_review_required
asrt.ff9798593789c93df81f7efa,378,WARFARE_MENTION,வாள்,2,10,human_review_required
asrt.53d565646cdf810813de6b38,382,WATER_BODY_MENTION,கடல்,1,0,human_review_required
asrt.86ace92091e562af04047de0,382,WARFARE_MENTION,படை,1,5,human_review_required
